Policy_ID,Customer_ID,First_Name,Last_Name,Age,Gender,State,Vehicle_Make,Vehicle_Model,Vehicle_Year,Policy_Type,Coverage_Level,Annual_Premium,Deductible,Policy_Status,Claim_Count,Last_Claim_Amount,Credit_Score_Range,Policy_Start_Date,Policy_End_Date
P00001,C00001,Noah,Miller,23,Male,GA,Kia,Sportage,2017,Personal Auto,Collision,880.21,1000,Active,1,8894.07,Very Good,2024-01-07,2025-01-06
P00002,C00002,Olivia,Miller,49,Female,NC,Chevrolet,Malibu,2018,Personal Auto,Collision,1774.05,1000,Active,0,0.0,Poor,2024-05-03,2025-05-03
P00003,C00003,Henry,Brown,39,Male,FL,Tesla,Model 3,2019,Commercial Auto,Comprehensive,1517.16,750,Active,3,566.53,Very Good,2024-07-14,2025-07-14
P00004,C00004,Amelia,Smith,59,Male,FL,Tesla,Model 3,2021,Commercial Auto,Comprehensive,1104.04,500,Active,0,0.0,Poor,2024-06-29,2025-06-29
P00005,C00005,James,Jones,26,Male,FL,Audi,A4,2016,Commercial Auto,Comprehensive,2394.8,250,Expired,2,9502.95,Fair,2024-04-06,2025-04-06
P00006,C00006,Benjamin,Anderson,45,Male,NY,Kia,Sportage,2019,Commercial Auto,Comprehensive,1726.26,1000,Active,1,8230.32,Excellent,2024-05-03,2025-05-03
P00007,C00007,Liam,Rodriguez,54,Male,WA,Hyundai,Elantra,2023,Commercial Auto,Comprehensive,2225.34,750,Expired,1,1258.36,Fair,2024-08-18,2025-08-18
P00008,C00008,Olivia,Anderson,49,Female,NV,Hyundai,Elantra,2016,Personal Auto,Collision,2334.95,1000,Expired,1,6218.3,Good,2024-02-26,2025-02-25
P00009,C00009,Olivia,Martinez,47,Female,IL,Audi,A4,2021,Personal Auto,Collision,1071.64,750,Cancelled,0,0.0,Very Good,2024-01-11,2025-01-10
P00010,C00010,Olivia,Williams,66,Male,WA,Ford,F-150,2023,Personal Auto,Comprehensive,1771.69,250,Cancelled,0,0.0,Fair,2024-08-30,2025-08-30
P00011,C00011,Emma,Smith,75,Male,NC,Hyundai,Elantra,2020,Personal Auto,Full Coverage,1270.77,750,Expired,3,5756.63,Fair,2024-01-01,2024-12-31
P00012,C00012,James,Anderson,37,Female,IL,Hyundai,Elantra,2016,Commercial Auto,Full Coverage,1976.44,1000,Cancelled,3,6715.36,Excellent,2024-07-10,2025-07-10
P00013,C00013,Noah,Williams,27,Male,AZ,Nissan,Altima,2022,Commercial Auto,Full Coverage,2103.89,750,Active,3,11420.57,Very Good,2024-08-03,2025-08-03
P00014,C00014,Benjamin,Wilson,58,Female,GA,Ford,F-150,2016,Personal Auto,Full Coverage,1459.62,1000,Active,3,4391.87,Very Good,2024-04-22,2025-04-22
P00015,C00015,Sophia,Johnson,44,Male,IL,Tesla,Model 3,2020,Commercial Auto,Liability Only,652.76,500,Cancelled,2,8903.63,Poor,2024-09-24,2025-09-24
P00016,C00016,Amelia,Anderson,64,Female,TX,Nissan,Altima,2018,Commercial Auto,Full Coverage,1053.62,750,Active,0,0.0,Good,2024-01-16,2025-01-15
P00017,C00017,Lucas,Thomas,25,Male,WA,Ford,F-150,2022,Personal Auto,Collision,2073.64,500,Cancelled,1,1365.54,Good,2024-09-14,2025-09-14
P00018,C00018,Ava,Williams,29,Female,NY,Honda,Civic,2020,Personal Auto,Full Coverage,1185.1,250,Expired,0,0.0,Good,2024-12-07,2025-12-07
P00019,C00019,Charlotte,Davis,28,Male,GA,BMW,3 Series,2024,Personal Auto,Liability Only,1430.25,500,Cancelled,2,8181.14,Fair,2024-09-09,2025-09-09
P00020,C00020,Evelyn,Taylor,23,Male,WA,Hyundai,Elantra,2020,Personal Auto,Full Coverage,1047.48,250,Expired,1,2855.72,Fair,2024-06-20,2025-06-20
P00021,C00021,Emma,Rodriguez,41,Male,NC,Nissan,Altima,2020,Commercial Auto,Liability Only,1511.83,750,Cancelled,3,8246.21,Poor,2024-02-03,2025-02-02
P00022,C00022,Benjamin,Rodriguez,64,Male,NV,Honda,Civic,2015,Personal Auto,Liability Only,1856.45,750,Cancelled,3,6561.95,Poor,2024-09-20,2025-09-20
P00023,C00023,Charlotte,Davis,52,Male,WA,Toyota,Camry,2021,Commercial Auto,Collision,1060.32,1000,Cancelled,2,2863.84,Good,2024-11-14,2025-11-14
P00024,C00024,Sophia,Taylor,68,Female,GA,Audi,A4,2021,Personal Auto,Collision,2434.89,500,Active,0,0.0,Poor,2024-04-11,2025-04-11
P00025,C00025,Isabella,Brown,54,Male,IL,Hyundai,Elantra,2019,Commercial Auto,Full Coverage,1346.07,250,Cancelled,2,10175.21,Good,2024-04-12,2025-04-12
P00026,C00026,Harper,Rodriguez,31,Male,TX,Hyundai,Elantra,2016,Commercial Auto,Full Coverage,2484.76,1000,Cancelled,2,2647.07,Good,2024-09-18,2025-09-18
P00027,C00027,Henry,Wilson,40,Male,AZ,Ford,F-150,2018,Commercial Auto,Comprehensive,2431.38,250,Expired,3,13401.95,Poor,2024-11-08,2025-11-08
P00028,C00028,James,Brown,52,Male,NV,BMW,3 Series,2016,Commercial Auto,Collision,1051.8,500,Active,2,14572.83,Poor,2024-04-09,2025-04-09
P00029,C00029,Ava,Rodriguez,74,Female,GA,Kia,Sportage,2021,Personal Auto,Comprehensive,1505.1,500,Expired,0,0.0,Poor,2024-08-16,2025-08-16
P00030,C00030,Henry,Smith,26,Male,IL,Tesla,Model 3,2016,Commercial Auto,Liability Only,2101.72,1000,Active,1,4601.26,Fair,2024-01-23,2025-01-22
